,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-04,88.333336,90.833336,88.133331,90.433334,59.633335,14115030
1,2018-12-05,90.300003,92.133331,88.366669,89.533333,59.039856,16482709
2,2018-12-06,88.666664,88.833336,86.433334,87.166664,57.479233,13797400
3,2018-12-07,88.5,89.066666,85.800003,86.5,57.039635,20622151
4,2018-12-10,86.333336,90.466667,85.0,89.566666,59.061836,75915090
5,2018-12-11,89.333336,89.333336,86.366669,87.966667,58.006783,32698708
6,2018-12-12,88.0,91.266663,87.766663,90.73333,59.831165,28063432
7,2018-12-13,92.300003,92.599998,90.900002,91.599998,60.40266,26355027
8,2018-12-14,94.099998,95.0,93.400002,94.166664,62.095165,59158810
9,2018-12-17,95.066666,95.400002,94.199997,95.266663,62.820515,27722022
10,2018-12-18,95.800003,96.666664,95.333336,96.5,63.633812,30075697
11,2018-12-19,98.0,98.5,97.033333,97.300003,64.161339,27199297
12,2018-12-20,97.033333,98.833336,96.599998,98.566666,64.996597,32333232
13,2018-12-21,94.533333,95.199997,92.73333,93.166664,64.374718,52021438
14,2018-12-24,93.666664,93.933334,89.533333,90.033333,62.209709,22316688
15,2018-12-26,90.866669,91.466667,89.533333,89.766663,62.025455,27846346
16,2018-12-27,89.73333,90.133331,87.333336,89.266663,61.679962,70056046
17,2018-12-28,89.73333,92.466667,89.466667,92.133331,63.660728,24779793
18,2018-12-31,92.400002,92.666664,91.033333,91.366669,63.130997,11040681
19,2019-01-01,91.466667,92.0,90.866669,91.800003,63.43042,6088843
20,2019-01-02,91.533333,92.133331,89.400002,91.5,63.223133,17264659
21,2019-01-03,91.466667,91.466667,88.099998,88.433334,61.104164,19588744
22,2019-01-04,88.433334,89.966667,88.333336,89.300003,61.703011,10915804
23,2019-01-07,89.666664,89.833336,88.333336,88.966667,61.472694,15935205
24,2019-01-08,89.066666,89.466667,88.466667,89.333336,61.72604,10306023
25,2019-01-09,89.166664,89.533333,87.73333,88.0,60.804756,12524175
26,2019-01-10,87.400002,87.866669,86.300003,86.599998,59.837414,16030905
27,2019-01-11,87.0,87.699997,86.900002,87.466667,60.436237,11384055
28,2019-01-14,88.666664,88.766663,87.333336,88.199997,60.942951,13479003
29,2019-01-15,88.400002,89.833336,88.366669,89.699997,61.979397,9579616
30,2019-01-16,90.0,90.666664,89.433334,90.533333,62.555202,9907876
31,2019-01-17,90.666664,92.199997,90.199997,91.766663,63.407383,17466157
32,2019-01-18,91.666664,92.466667,91.433334,91.900002,63.499512,10535631
33,2019-01-21,91.333336,91.866669,90.300003,90.433334,62.486103,7787296
34,2019-01-22,90.633331,91.533333,90.23333,90.633331,62.624287,10681468
35,2019-01-23,91.0,91.199997,90.066666,90.73333,62.693394,8051850
36,2019-01-24,90.833336,92.133331,90.73333,91.199997,63.015835,9241969
37,2019-01-25,91.199997,92.533333,91.199997,91.833336,63.453449,9382843
38,2019-01-28,91.466667,92.23333,90.933334,92.033333,63.59164,8355459
39,2019-01-29,92.0,93.033333,91.0,91.566666,63.269192,12549913
40,2019-01-30,91.433334,92.0,88.433334,89.699997,61.979397,24919875
41,2019-01-31,88.666664,92.199997,88.166664,91.23333,63.038864,48499137
42,2019-02-01,91.566666,92.333336,90.766663,91.466667,63.200085,7639086
43,2019-02-04,91.0,92.166664,90.066666,90.599998,62.601257,7489056
44,2019-02-05,90.633331,90.800003,88.866669,89.166664,61.610878,5153344
45,2019-02-06,89.0,92.166664,89.0,91.900002,63.499512,6725157
46,2019-02-07,91.900002,92.366669,91.099998,92.033333,63.59164,5143651
47,2019-02-08,92.099998,92.133331,88.73333,89.199997,61.633911,5373850
48,2019-02-11,89.266663,91.699997,87.066666,90.566666,62.578224,16950358
49,2019-02-12,91.333336,91.933334,89.266663,89.833336,62.071533,14381769
50,2019-02-14,86.333336,86.433334,82.366669,83.099998,57.419037,37246018
51,2019-02-15,84.633331,84.666664,80.633331,83.633331,57.78754,24901969
52,2019-02-18,83.900002,84.5,82.800003,83.300003,57.557236,8880549
53,2019-02-19,83.333336,85.433334,83.333336,83.73333,57.856644,9197914
54,2019-02-20,84.333336,87.133331,83.933334,86.199997,59.56102,11944227
55,2019-02-21,86.0,87.633331,85.533333,87.400002,60.390175,8869450
56,2019-02-22,87.833336,92.0,87.800003,91.466667,63.200085,37493133
57,2019-02-25,91.933334,93.0,89.699997,92.400002,63.844994,25569705
58,2019-02-26,91.333336,95.5,91.099998,94.833336,65.526337,27315912
59,2019-02-27,95.333336,96.166664,92.699997,93.933334,64.904457,17242557
60,2019-02-28,95.0,97.866669,94.366669,96.400002,66.608849,100021654
61,2019-03-01,96.599998,99.300003,95.5,98.699997,68.198067,13006503
62,2019-03-05,97.866669,102.833336,97.800003,102.433334,70.777664,20764447
63,2019-03-06,103.333336,104.833336,102.333336,103.266663,71.35347,16825896
64,2019-03-07,103.633331,104.800003,99.433334,100.133331,69.188438,17011372
65,2019-03-08,100.0,100.599998,96.466667,99.133331,68.497467,24074025
66,2019-03-11,100.0,103.566666,99.566666,102.466667,70.80069,18519358
67,2019-03-12,103.333336,104.300003,102.0,102.73333,70.98494,17610831
68,2019-03-13,101.333336,101.800003,97.900002,99.166664,68.520515,30174928
69,2019-03-14,99.666664,101.433334,99.433334,100.73333,69.60302,17374453
70,2019-03-15,101.800003,106.133331,100.466667,104.900002,72.482025,44451336
71,2019-03-18,106.633331,110.800003,105.23333,108.533333,74.992531,62223189
72,2019-03-19,110.666664,110.666664,107.833336,108.466667,74.94648,45605748
73,2019-03-20,108.5,108.5,103.800003,106.0,73.242104,54100771
74,2019-03-22,105.866669,107.5,103.400002,104.699997,72.343834,46517671
75,2019-03-25,104.666664,110.599998,103.333336,109.566666,75.706535,35528448
76,2019-03-26,110.066666,113.166664,107.0,107.866669,74.531906,39595707
77,2019-03-27,108.0,109.133331,106.933334,107.633331,75.066582,15999376
78,2019-03-28,108.0,109.400002,106.900002,107.533333,74.996841,44148799
79,2019-04-01,108.73333,109.199997,104.533333,105.800003,73.787964,30261943
80,2019-04-02,105.333336,106.599998,104.699997,105.433334,73.532242,16354749
81,2019-04-03,105.333336,106.433334,102.0,102.300003,71.34697,15855598
82,2019-04-04,103.0,104.066666,102.23333,103.466667,72.160637,14047660
83,2019-04-05,103.833336,106.0,103.599998,105.633331,73.671722,13427421
84,2019-04-08,104.933334,104.933334,101.133331,101.366669,70.696037,19062093
85,2019-04-09,99.333336,104.0,99.199997,103.599998,72.253624,22643701
86,2019-04-10,103.166664,105.566666,102.300003,104.400002,72.811562,13325952
87,2019-04-11,104.400002,107.866669,104.099998,105.300003,73.439255,22679952
88,2019-04-12,105.900002,106.466667,103.366669,103.566666,72.230377,21515250
89,2019-04-15,104.533333,105.333336,102.199997,102.666664,71.602699,14607574
90,2019-04-16,103.73333,105.666664,102.5,103.800003,72.393112,17539116
91,2019-04-18,104.966667,104.966667,102.766663,104.066666,72.579079,13763782
92,2019-04-22,101.666664,101.833336,99.23333,99.833336,69.626656,18828481
93,2019-04-23,99.599998,100.599998,97.900002,99.599998,69.463913,12625692
94,2019-04-24,100.666664,102.766663,100.300003,102.533333,71.509705,17801275
95,2019-04-25,102.400002,103.633331,101.23333,101.800003,70.998253,43159665
96,2019-04-26,102.599998,104.73333,101.0,101.900002,71.067993,17975994
97,2019-04-30,103.333336,106.0,102.433334,105.366669,73.485741,21234391
98,2019-05-02,106.0,106.866669,104.133331,105.400002,73.508995,17787885
99,2019-05-03,106.633331,106.666664,103.800003,104.099998,72.602341,10380483
100,2019-05-06,105.0,105.599998,103.433334,104.466667,72.858063,11921959
101,2019-05-07,104.466667,104.466667,101.466667,102.300003,71.34697,12620941
102,2019-05-08,102.666664,103.466667,101.133331,101.466667,70.76577,8682891
103,2019-05-09,101.466667,101.966667,100.0,100.400002,70.021843,7252297
104,2019-05-10,99.933334,100.166664,98.033333,98.400002,68.626999,10831261
105,2019-05-13,97.466667,98.566666,94.666664,95.066666,66.302231,14569303
106,2019-05-14,95.066666,96.566666,94.333336,95.73333,66.767189,13879179
107,2019-05-15,96.666664,98.099998,95.866669,97.166664,67.76683,18739447
108,2019-05-16,96.199997,101.533333,95.333336,100.766663,70.277573,17261152
109,2019-05-17,100.0,101.766663,97.900002,99.73333,69.556892,34143775
