,Date,Open,High,Low,Close,Adj Close,Volume
27,1996-02-07,1.05,1.05,1.05,1.05,0.849452,0.0
28,1996-02-08,1.05,1.05,1.05,1.05,0.849452,0.0
29,1996-02-09,1.05,1.05,1.05,1.05,0.849452,0.0
30,1996-02-12,1.07475,1.07475,1.07475,1.07475,0.869475,39999.0
31,1996-02-13,1.07475,1.07475,1.07475,1.07475,0.869475,0.0
32,1996-02-14,1.07475,1.07475,1.07475,1.07475,0.869475,0.0
33,1996-02-15,1.07475,1.07475,1.07475,1.07475,0.869475,0.0
34,1996-02-16,1.125,1.125,1.125,1.125,0.910127,59999.0
35,1996-02-19,1.125,1.125,1.125,1.125,0.910127,0.0
36,1996-02-20,1.125,1.125,1.125,1.125,0.910127,0.0
37,1996-02-21,1.125,1.125,1.125,1.125,0.910127,0.0
38,1996-02-22,1.125,1.125,1.125,1.125,0.910127,0.0
39,1996-02-23,1.125,1.125,1.125,1.125,0.910127,0.0
40,1996-02-26,1.125,1.125,1.125,1.125,0.910127,19999.0
41,1996-02-27,1.1,1.1,1.0875,1.0875,0.87979,39999.0
42,1996-02-28,1.100125,1.125,1.100125,1.125,0.910127,79999.0
43,1996-02-29,1.125,1.125,1.125,1.125,0.910127,0.0
44,1996-03-01,1.125,1.125,1.125,1.125,0.910127,19999.0
45,1996-03-04,1.1,1.125,1.1,1.125,0.910127,39999.0
46,1996-03-05,1.125,1.125,1.125,1.125,0.910127,0.0
47,1996-03-06,1.125,1.125,1.125,1.125,0.910127,0.0
48,1996-03-07,1.125,1.125,1.125,1.125,0.910127,0.0
49,1996-03-08,1.1125,1.125,1.1125,1.11875,0.905071,39999.0
50,1996-03-11,1.11875,1.11875,1.11875,1.11875,0.905071,0.0
51,1996-03-12,1.125,1.125,1.125,1.125,0.910127,19999.0
52,1996-03-13,1.050125,1.050125,1.050125,1.050125,0.849553,399999.0
53,1996-03-14,1.050125,1.050125,1.050125,1.050125,0.849553,0.0
54,1996-03-15,1.075,1.075,1.065,1.065,0.861588,59999.0
55,1996-03-18,1.0875,1.1,1.0875,1.1,0.889902,59999.0
56,1996-03-19,1.125,1.125,1.100125,1.100125,0.890004,59999.0
57,1996-03-20,1.100125,1.100125,1.100125,1.100125,0.890004,0.0
58,1996-03-21,1.100125,1.100125,1.100125,1.100125,0.890004,0.0
59,1996-03-22,1.100125,1.100125,1.100125,1.100125,0.890004,0.0
60,1996-03-25,1.100125,1.100125,1.100125,1.100125,0.890004,0.0
61,1996-03-26,1.1,1.1125,1.1,1.1125,0.900015,39999.0
62,1996-03-27,1.1225,1.1225,1.1225,1.1225,0.908105,19999.0
63,1996-03-28,1.1225,1.1225,1.1225,1.1225,0.908105,0.0
64,1996-03-29,1.1,1.1,1.1,1.1,0.889902,19999.0
65,1996-04-01,1.1,1.1,1.1,1.1,0.889902,39999.0
66,1996-04-02,1.1,1.11,1.0875,1.11,0.897992,59999.0
67,1996-04-03,1.1,1.1,1.1,1.1,0.889902,399999.0
68,1996-04-04,1.1,1.1,1.1,1.1,0.889902,19999.0
69,1996-04-05,1.1,1.1,1.1,1.1,0.889902,0.0
70,1996-04-08,1.1,1.1,1.1,1.1,0.889902,19999.0
71,1996-04-09,1.1,1.1,1.1,1.1,0.889902,19999.0
72,1996-04-10,1.125,1.125,1.125,1.125,0.910127,19999.0
73,1996-04-11,1.1,1.1,1.0975,1.1,0.889902,179999.0
74,1996-04-12,1.105,1.105,1.100125,1.100125,0.890004,199999.0
75,1996-04-15,1.100125,1.100125,1.100125,1.100125,0.890004,159999.0
76,1996-04-16,1.1025,1.1025,1.095,1.095,0.885857,59999.0
77,1996-04-17,1.1,1.1,1.1,1.1,0.889902,19999.0
78,1996-04-18,1.125,1.135,1.125,1.135,0.918217,79999.0
79,1996-04-19,1.135,1.135,1.135,1.135,0.918217,0.0
80,1996-04-22,1.135,1.135,1.135,1.135,0.918217,0.0
81,1996-04-23,1.2,1.225,1.2,1.225,0.991028,59999.0
82,1996-04-24,1.305,1.3225,1.305,1.3225,1.069906,79999.0
83,1996-04-25,1.35,1.35,1.341875,1.341875,1.08558,119999.0
84,1996-04-26,1.315,1.32,1.315,1.32,1.067883,39999.0
85,1996-04-29,1.4125,1.4125,1.4125,1.4125,1.142716,19999.0
86,1996-04-30,1.425,1.425,1.325,1.325,1.071928,79999.0
87,1996-05-01,1.345,1.35,1.345,1.35,1.092153,39999.0
88,1996-05-02,1.3025,1.3475,1.3025,1.3475,1.09013,39999.0
89,1996-05-03,1.31,1.31,1.3025,1.3025,1.053726,39999.0
90,1996-05-06,1.3,1.325,1.3,1.3,1.051703,59999.0
91,1996-05-07,1.3025,1.3025,1.3025,1.3025,1.053726,39999.0
92,1996-05-08,1.3025,1.3025,1.3025,1.3025,1.053726,0.0
93,1996-05-09,1.3125,1.3125,1.3,1.3,1.051703,59999.0
94,1996-05-10,1.3,1.3,1.25,1.25,1.011253,59999.0
95,1996-05-13,1.25,1.25,1.25,1.25,1.011253,0.0
96,1996-05-14,1.245,1.245,1.245,1.245,1.007208,39999.0
97,1996-05-15,1.245,1.245,1.245,1.245,1.007208,0.0
98,1996-05-16,1.3075,1.3125,1.3075,1.3125,1.061815,39999.0
99,1996-05-17,1.3,1.3,1.3,1.3,1.051703,19999.0
100,1996-05-20,1.3,1.3,1.3,1.3,1.051703,0.0
101,1996-05-21,1.2375,1.29625,1.2375,1.29625,1.048669,39999.0
102,1996-05-22,1.225,1.225,1.225,1.225,0.991028,19999.0
103,1996-05-23,1.225,1.225,1.225,1.225,0.991028,0.0
104,1996-05-24,1.25,1.25,1.25,1.25,1.011253,39999.0
105,1996-05-27,1.25,1.25,1.25,1.25,1.011253,0.0
106,1996-05-28,1.25,1.15,1.1275,1.1275,0.91215,79999.0
107,1996-05-29,1.15,1.1625,1.15,1.15,0.930352,379999.0
108,1996-05-30,1.1625,1.1625,1.1625,1.1625,0.940465,19999.0
109,1996-05-31,1.15,1.17,1.15,1.1675,0.94451,139999.0
110,1996-06-03,1.1725,1.1725,1.150375,1.171875,0.948049,179999.0
111,1996-06-04,1.175,1.175,1.1625,1.175,0.950578,59999.0
112,1996-06-05,1.175,1.175,1.175,1.175,0.950578,0.0
113,1996-06-06,1.274875,1.275,1.274875,1.275,1.031478,39999.0
114,1996-06-07,1.3,1.3,1.3,1.3,1.051703,19999.0
115,1996-06-10,1.3,1.3,1.3,1.3,1.051703,0.0
116,1996-06-11,1.325,1.335,1.325,1.325,1.071928,119999.0
117,1996-06-12,1.45,1.45,1.427375,1.4275,1.154851,59999.0
118,1996-06-13,1.55,1.55,1.355,1.355,1.096198,39999.0
119,1996-06-14,1.395,1.4,1.395,1.398375,1.131289,79999.0
120,1996-06-17,1.387375,1.3875,1.387375,1.3875,1.122491,39999.0
121,1996-06-18,1.3875,1.40875,1.3875,1.40875,1.139682,139999.0
122,1996-06-19,1.3875,1.4375,1.3875,1.425,1.152828,179999.0
123,1996-06-20,1.425,1.425,1.425,1.425,1.152828,0.0
124,1996-06-21,1.3775,1.3775,1.3775,1.3775,1.114401,39999.0
125,1996-06-24,1.355,1.355,1.355,1.355,1.096198,19999.0
