,Date,Open,High,Low,Close,Volume
0,17-09-2007,4518.450195,4549.049805,4482.850098,4494.649902,0.0
1,18-09-2007,4494.100098,4551.799805,4481.549805,4546.200195,0.0
2,19-09-2007,4550.25,4739.0,4550.25,4732.350098,0.0
3,20-09-2007,4734.850098,4760.850098,4721.149902,4747.549805,0.0
4,21-09-2007,4752.950195,4855.700195,4733.700195,4837.549805,0.0
5,24-09-2007,4837.149902,4941.149902,4837.149902,4932.200195,0.0
6,25-09-2007,4939.100098,4953.899902,4878.149902,4938.850098,0.0
7,26-09-2007,4937.600098,4980.850098,4930.350098,4940.5,0.0
8,27-09-2007,4942.700195,5016.399902,4942.700195,5000.549805,0.0
9,28-09-2007,4996.450195,5055.799805,4996.450195,5021.350098,0.0
10,01-10-2007,5021.5,5089.299805,5001.350098,5068.950195,0.0
11,03-10-2007,5069.0,5261.350098,5034.149902,5210.799805,0.0
12,04-10-2007,5211.649902,5233.100098,5126.049805,5208.649902,0.0
13,05-10-2007,5208.149902,5248.549805,5164.5,5185.850098,0.0
14,08-10-2007,5186.25,5249.299805,5024.75,5085.100098,0.0
15,09-10-2007,5062.649902,5348.700195,5000.950195,5327.25,0.0
16,10-10-2007,5328.149902,5454.700195,5328.149902,5441.450195,0.0
17,11-10-2007,5438.899902,5532.75,5424.25,5524.850098,0.0
18,12-10-2007,5525.299805,5549.299805,5402.600098,5428.25,0.0
19,15-10-2007,5428.350098,5682.649902,5419.899902,5670.399902,0.0
20,16-10-2007,5670.649902,5708.350098,5578.450195,5668.049805,0.0
21,17-10-2007,5658.899902,5658.899902,5107.299805,5559.299805,0.0
22,18-10-2007,5551.100098,5736.799805,5269.649902,5351.0,0.0
23,19-10-2007,5360.350098,5390.850098,5101.75,5215.299805,0.0
24,22-10-2007,5202.75,5247.399902,5070.899902,5184.0,0.0
25,23-10-2007,5185.299805,5488.5,5176.850098,5473.700195,0.0
26,24-10-2007,5477.600098,5577.899902,5419.399902,5496.149902,0.0
27,25-10-2007,5499.049805,5605.950195,5469.299805,5568.950195,0.0
28,26-10-2007,5564.25,5716.899902,5513.350098,5702.299805,0.0
29,29-10-2007,5708.899902,5922.5,5708.899902,5905.899902,0.0
30,30-10-2007,5917.549805,5976.0,5833.899902,5868.75,0.0
31,31-10-2007,5868.899902,5952.25,5861.299805,5900.649902,0.0
32,01-11-2007,5903.799805,6011.950195,5837.200195,5866.450195,0.0
33,02-11-2007,5854.850098,5944.75,5714.25,5932.399902,0.0
34,05-11-2007,5931.899902,5948.549805,5819.600098,5847.299805,0.0
35,06-11-2007,5847.100098,5957.200195,5759.950195,5786.5,0.0
36,07-11-2007,5782.399902,5861.350098,5744.299805,5782.350098,0.0
37,08-11-2007,5779.299805,5780.799805,5646.75,5698.75,0.0
38,12-11-2007,5660.600098,5660.600098,5477.5,5617.100098,0.0
39,13-11-2007,5612.350098,5758.850098,5591.600098,5695.399902,0.0
40,14-11-2007,5703.950195,5950.200195,5700.049805,5937.899902,0.0
41,15-11-2007,5942.700195,5966.950195,5895.649902,5912.100098,0.0
42,16-11-2007,5913.149902,5948.049805,5817.399902,5906.850098,0.0
43,19-11-2007,5908.049805,5981.799805,5893.799805,5907.649902,0.0
44,20-11-2007,5911.25,5923.700195,5755.799805,5780.899902,0.0
45,21-11-2007,5778.799805,5790.049805,5530.850098,5561.049805,0.0
46,22-11-2007,5564.649902,5608.649902,5394.350098,5519.350098,0.0
47,23-11-2007,5524.299805,5638.600098,5514.75,5608.600098,0.0
48,26-11-2007,5611.299805,5772.549805,5608.950195,5731.700195,0.0
49,27-11-2007,5729.25,5743.549805,5655.600098,5698.149902,0.0
50,28-11-2007,5699.549805,5749.950195,5595.5,5617.549805,0.0
51,29-11-2007,5617.799805,5725.0,5612.100098,5634.600098,0.0
52,30-11-2007,5633.899902,5782.549805,5632.649902,5762.75,0.0
53,03-12-2007,5765.450195,5878.799805,5754.600098,5865.0,0.0
54,04-12-2007,5870.200195,5897.25,5840.299805,5858.350098,0.0
55,05-12-2007,5861.899902,5949.299805,5859.950195,5940.0,0.0
56,06-12-2007,5941.049805,6027.049805,5919.799805,5954.700195,0.0
57,07-12-2007,5963.600098,6042.100098,5894.799805,5974.299805,0.0
58,10-12-2007,5974.0,6015.299805,5923.350098,5960.600098,0.0
59,11-12-2007,5960.399902,6111.200195,5960.399902,6097.25,0.0
60,12-12-2007,6067.049805,6175.649902,6005.450195,6159.299805,0.0
61,13-12-2007,6159.25,6185.399902,6040.399902,6058.100098,0.0
62,14-12-2007,6056.200195,6078.549805,6015.049805,6047.700195,0.0
63,17-12-2007,6037.950195,6039.950195,5740.600098,5777.0,0.0
64,18-12-2007,5777.600098,5874.600098,5710.600098,5742.299805,0.0
65,19-12-2007,5730.25,5840.799805,5676.700195,5751.149902,0.0
66,20-12-2007,5751.75,5799.5,5742.75,5766.5,0.0
67,24-12-2007,5771.299805,6001.049805,5771.299805,5985.100098,0.0
68,26-12-2007,5988.450195,6085.25,5988.450195,6070.75,0.0
69,27-12-2007,6069.0,6110.850098,6060.200195,6081.5,0.0
