,Date,Open,High,Low,Close,Volume
0,05/12/2022,3433.0,3439.149902,3407.0,3425.899902,1475065
1,06/12/2022,3400.050049,3407.949951,3368.0,3385.350098,1166999
2,07/12/2022,3368.300049,3393.699951,3354.0,3380.600098,1167505
3,08/12/2022,3360.0,3380.600098,3339.449951,3350.550049,1285619
4,09/12/2022,3374.100098,3374.100098,3276.350098,3292.75,1797896
5,12/12/2022,3255.5,3296.0,3236.100098,3286.449951,1527610
6,13/12/2022,3277.199951,3336.449951,3267.800049,3332.100098,1378016
7,14/12/2022,3348.800049,3377.0,3340.899902,3365.350098,1213311
8,15/12/2022,3358.800049,3364.75,3298.949951,3305.100098,1415694
9,16/12/2022,3275.0,3292.0,3225.199951,3240.25,2703680
10,19/12/2022,3227.0,3245.5,3194.5,3202.050049,2120965
11,20/12/2022,3198.899902,3249.0,3163.649902,3243.949951,1529971
12,21/12/2022,3249.0,3283.050049,3240.0,3268.550049,1432566
13,22/12/2022,3294.0,3294.0,3245.100098,3259.699951,1384101
14,23/12/2022,3217.0,3266.850098,3217.0,3228.350098,1360281
15,26/12/2022,3228.350098,3272.0,3225.050049,3252.899902,870157
16,27/12/2022,3269.199951,3273.800049,3231.5,3259.5,835883
17,28/12/2022,3249.800049,3266.100098,3226.0,3257.100098,910795
18,29/12/2022,3231.100098,3271.5,3228.0,3268.75,1037927
19,30/12/2022,3286.050049,3299.0,3246.199951,3256.699951,1163131
20,02/01/2023,3261.0,3266.850098,3235.199951,3261.449951,709547
21,03/01/2023,3252.0,3320.0,3245.300049,3311.350098,1245178
22,04/01/2023,3306.699951,3327.350098,3286.199951,3314.649902,1231668
23,05/01/2023,3330.199951,3337.300049,3281.949951,3311.100098,1826057
24,06/01/2023,3300.0,3301.550049,3200.0,3211.550049,2488376
25,09/01/2023,3229.0,3327.0,3221.149902,3319.949951,2885060
26,10/01/2023,3285.0,3298.0,3230.100098,3286.399902,3864655
27,11/01/2023,3290.100098,3349.5,3271.149902,3328.699951,2720512
28,12/01/2023,3329.0,3350.0,3315.550049,3334.350098,2250391
29,13/01/2023,3342.899902,3379.0,3305.0,3374.550049,1742837
30,16/01/2023,3317.0,3353.0,3298.050049,3334.050049,1843607
31,17/01/2023,3330.0,3381.800049,3321.0,3378.399902,1688475
32,18/01/2023,3380.0,3408.949951,3372.25,3390.0,2421189
33,19/01/2023,3380.0,3387.0,3361.0,3373.100098,1585044
34,20/01/2023,3365.0,3394.649902,3355.600098,3363.100098,1529349
35,23/01/2023,3388.0,3419.0,3355.600098,3414.899902,1067916
36,24/01/2023,3425.0,3451.949951,3417.300049,3436.300049,1387863
37,25/01/2023,3425.300049,3435.0,3405.0,3429.75,874110
38,27/01/2023,3426.0,3446.0,3382.300049,3411.050049,1785879
39,30/01/2023,3420.0,3458.449951,3385.550049,3433.649902,1953798
40,31/01/2023,3449.0,3449.0,3351.0,3358.699951,2820375
41,01/02/2023,3363.0,3419.0,3355.0,3408.350098,2205161
42,02/02/2023,3427.0,3469.0,3420.100098,3460.399902,1813847
43,03/02/2023,3504.0,3504.0,3452.899902,3482.300049,1804469
44,06/02/2023,3473.149902,3473.149902,3436.850098,3459.949951,1138714
45,07/02/2023,3468.899902,3493.0,3461.399902,3472.550049,1455647
46,08/02/2023,3478.050049,3539.899902,3478.050049,3520.100098,1986946
47,09/02/2023,3515.0,3547.600098,3505.300049,3540.850098,1655427
48,10/02/2023,3520.0,3542.350098,3508.149902,3537.550049,1187821
49,13/02/2023,3549.0,3549.0,3473.399902,3482.399902,1087939
50,14/02/2023,3505.0,3524.850098,3495.0,3500.100098,1579818
51,15/02/2023,3487.0,3526.0,3460.149902,3520.649902,1429449
52,16/02/2023,3527.199951,3575.0,3527.0,3558.050049,1618931
53,17/02/2023,3526.149902,3538.899902,3490.0,3501.149902,1061369
54,20/02/2023,3502.0,3522.0,3475.050049,3487.300049,1296082
55,21/02/2023,3494.0,3508.899902,3444.75,3451.0,1139541
56,22/02/2023,3414.949951,3447.0,3395.0,3401.550049,1218430
57,23/02/2023,3421.0,3452.399902,3408.0,3413.800049,1441570
58,24/02/2023,3422.5,3433.949951,3382.300049,3400.449951,977592
59,27/02/2023,3390.0,3390.0,3316.0,3331.850098,1128022
60,28/02/2023,3328.5,3392.0,3299.899902,3312.850098,4116217
61,01/03/2023,3323.0,3389.0,3315.0,3385.699951,1669307
62,02/03/2023,3361.0,3369.899902,3318.0,3321.449951,1556538
63,03/03/2023,3354.0,3358.0,3331.100098,3342.149902,1043190
64,06/03/2023,3361.899902,3404.949951,3359.0,3371.850098,1334132
65,08/03/2023,3364.0,3396.0,3330.850098,3390.399902,1844590
66,09/03/2023,3385.0,3385.0,3330.850098,3336.850098,1648500
67,10/03/2023,3312.899902,3337.25,3290.0,3331.0,1024404
68,13/03/2023,3333.0,3369.800049,3272.0,3281.949951,1901233
69,14/03/2023,3280.0,3304.399902,3209.399902,3214.949951,2670334
70,15/03/2023,3250.0,3260.350098,3192.0,3198.899902,1780522
71,16/03/2023,3208.0,3219.800049,3172.0,3185.0,1901060
72,17/03/2023,3150.5,3221.399902,3144.0,3179.300049,6739966
73,20/03/2023,3169.649902,3169.649902,3095.050049,3143.300049,2289468
74,21/03/2023,3143.300049,3156.75,3097.449951,3106.100098,1815297
75,22/03/2023,3130.050049,3143.5,3106.100098,3130.800049,1123939
76,23/03/2023,3114.899902,3146.350098,3101.0,3124.649902,1372218
77,24/03/2023,3148.899902,3170.0,3106.0,3120.5,1329577
78,27/03/2023,3135.0,3152.75,3106.0,3122.300049,1524217
79,28/03/2023,3127.0,3149.550049,3110.149902,3115.899902,1303530
80,29/03/2023,3129.0,3150.0,3104.100098,3138.899902,1740616
81,31/03/2023,3189.949951,3213.0,3152.0,3205.899902,2382581
82,03/04/2023,3224.949951,3224.949951,3173.75,3200.0,1521830
83,05/04/2023,3185.5,3264.350098,3185.5,3239.800049,2655065
84,06/04/2023,3225.0,3257.350098,3215.0,3220.699951,1703464
85,10/04/2023,3220.0,3272.0,3215.0,3263.399902,2203187
86,11/04/2023,3264.0,3272.949951,3192.149902,3213.800049,2348779
87,12/04/2023,3227.949951,3260.949951,3199.0,3241.649902,2417727
88,13/04/2023,3210.0,3230.0,3180.0,3188.850098,4174070
89,17/04/2023,3134.100098,3163.399902,3070.25,3139.5,5505048
90,18/04/2023,3154.949951,3156.850098,3110.600098,3130.75,2617302
91,19/04/2023,3130.75,3140.0,3071.5,3089.600098,3298034
92,20/04/2023,3090.0,3113.0,3078.0,3104.800049,2419999
93,21/04/2023,3110.0,3164.449951,3100.800049,3160.850098,1929184
94,24/04/2023,3151.100098,3180.949951,3126.149902,3174.800049,1640676
95,25/04/2023,3183.0,3191.199951,3147.5,3176.0,2024090
96,26/04/2023,3181.0,3208.399902,3181.0,3198.149902,2000029
97,27/04/2023,3185.0,3199.199951,3170.649902,3187.949951,2434446
98,28/04/2023,3200.399902,3227.25,3196.25,3219.25,2931312
99,02/05/2023,3235.0,3235.0,3210.0,3219.399902,2321159
100,03/05/2023,3216.0,3216.0,3173.149902,3179.899902,2468285
101,04/05/2023,3180.149902,3224.449951,3178.0,3220.699951,1953253
102,05/05/2023,3220.0,3244.0,3210.050049,3230.699951,1710027
103,08/05/2023,3245.0,3254.850098,3231.300049,3250.600098,928235
104,09/05/2023,3252.600098,3298.0,3246.0,3283.25,1107375
105,10/05/2023,3290.0,3306.5,3266.050049,3286.800049,1559987
106,11/05/2023,3309.0,3309.699951,3272.0,3282.149902,1719623
107,12/05/2023,3279.149902,3290.0,3260.0,3274.300049,1027479
108,15/05/2023,3284.0,3292.0,3248.350098,3255.050049,1150390
109,16/05/2023,3256.199951,3285.0,3250.449951,3258.149902,986306
110,17/05/2023,3255.949951,3280.0,3198.25,3208.699951,1588815
111,18/05/2023,3225.949951,3228.949951,3195.0,3199.850098,1369364
112,19/05/2023,3210.0,3234.5,3203.050049,3222.850098,1152449
113,22/05/2023,3230.0,3308.449951,3217.050049,3298.699951,1333243
114,23/05/2023,3306.0,3327.949951,3290.100098,3297.050049,1687418
115,24/05/2023,3276.0,3317.199951,3276.0,3303.350098,1016555
116,25/05/2023,3294.0,3306.0,3267.100098,3293.5,1374917
117,26/05/2023,3293.5,3338.649902,3291.0,3328.899902,1791115
118,29/05/2023,3360.800049,3372.0,3312.0,3320.350098,1210372
119,30/05/2023,3315.0,3326.949951,3301.350098,3316.199951,1344224
120,31/05/2023,3309.0,3327.699951,3265.149902,3289.5,5815424
