,Date,Open,High,Low,Close,Adj Close,Volume
0,2022-12-05,608.5,618.0,607.549988,617.299988,605.532959,11585602
1,2022-12-06,614.75,619.799988,607.799988,608.950012,597.342163,12996244
2,2022-12-07,610.849976,612.900024,604.5,607.049988,595.478333,7613892
3,2022-12-08,609.75,613.799988,607.150024,611.650024,599.990662,10020015
4,2022-12-09,614.400024,618.0,609.099976,616.5,604.74823,11202267
5,2022-12-12,614.799988,618.700012,611.0,613.049988,601.363953,9285187
6,2022-12-13,613.5,617.400024,612.5,616.75,604.993469,7455415
7,2022-12-14,618.5,626.75,617.5,625.5,613.57666,14010673
8,2022-12-15,625.549988,629.549988,614.299988,615.950012,604.20874,10622271
9,2022-12-16,612.0,615.599976,602.099976,603.349976,591.848877,9435071
10,2022-12-19,604.0,609.5,603.0,604.450012,592.927917,8322012
11,2022-12-20,603.0,606.5,599.549988,604.450012,592.927917,6753785
12,2022-12-21,605.900024,609.150024,589.599976,593.400024,582.088562,9217253
13,2022-12-22,597.0,599.0,587.549988,593.400024,582.088562,8740149
14,2022-12-23,590.0,590.700012,571.5,574.0,563.05835,13047046
15,2022-12-26,574.0,601.700012,570.700012,597.099976,585.718018,13201587
16,2022-12-27,600.400024,603.099976,593.299988,601.900024,590.426575,9638618
17,2022-12-28,600.900024,607.0,598.549988,601.049988,589.592712,7988631
18,2022-12-29,600.0,618.0,597.150024,611.799988,600.137817,20130392
19,2022-12-30,615.25,620.549988,611.349976,613.700012,602.001587,13052895
20,2023-01-02,614.950012,619.200012,611.200012,612.200012,600.530212,6726084
21,2023-01-03,614.5,616.599976,610.0,612.400024,600.726379,6818062
22,2023-01-04,611.849976,614.950012,604.0,605.200012,593.663635,7011191
23,2023-01-05,607.0,611.599976,601.950012,605.099976,593.565491,8241475
24,2023-01-06,607.400024,607.450012,597.0,600.650024,589.200378,7972036
25,2023-01-09,605.0,609.0,600.099976,607.700012,596.115967,8878905
26,2023-01-10,608.450012,609.0,590.599976,595.150024,583.805237,10622660
27,2023-01-11,596.450012,599.5,592.25,596.700012,585.325684,7419630
28,2023-01-12,597.900024,597.900024,590.099976,594.900024,583.559998,8183715
29,2023-01-13,597.900024,602.900024,593.650024,600.099976,588.660828,7877610
30,2023-01-16,603.0,606.099976,600.599976,603.0,591.505554,5483191
31,2023-01-17,603.0,606.0,586.049988,592.950012,581.647156,13461999
32,2023-01-18,595.900024,597.150024,587.599976,591.450012,580.17572,11538075
33,2023-01-19,591.0,591.75,587.549988,589.849976,578.606201,7475688
34,2023-01-20,593.799988,596.599976,590.799988,592.200012,580.911438,6750607
35,2023-01-23,598.5,601.75,592.950012,600.450012,589.00415,6604469
36,2023-01-24,603.5,604.599976,593.049988,594.349976,583.020386,7609623
37,2023-01-25,595.849976,595.849976,567.400024,568.700012,557.859375,25686294
38,2023-01-27,568.0,568.549988,532.25,539.950012,529.65741,40163464
39,2023-01-30,536.0,554.349976,525.200012,538.200012,527.940796,40797825
40,2023-01-31,545.0,557.0,537.849976,553.5,542.949097,21911943
41,2023-02-01,561.400024,565.0,499.350006,527.349976,517.297546,38218810
42,2023-02-02,520.200012,532.650024,502.5,528.099976,518.033264,39287056
43,2023-02-03,536.0,545.950012,519.150024,544.200012,533.826416,32317232
44,2023-02-06,558.799988,558.799988,536.549988,545.400024,535.00354,25338586
45,2023-02-07,548.0,551.400024,541.049988,547.099976,536.671082,16195947
46,2023-02-08,550.0,554.5,545.5,549.75,539.27063,15502847
47,2023-02-09,552.0,552.0,542.799988,550.799988,540.300598,15061047
48,2023-02-10,546.5,557.25,546.5,553.049988,542.50769,13824475
49,2023-02-13,554.0,556.900024,533.299988,537.5,527.25415,18488732
50,2023-02-14,539.950012,544.599976,530.75,540.849976,530.540222,18559909
51,2023-02-15,540.0,544.650024,536.799988,542.25,531.913574,12796579
52,2023-02-16,546.849976,546.849976,538.5,540.099976,529.804504,12767016
53,2023-02-17,538.5,539.650024,527.75,531.0,520.878052,14192008
54,2023-02-20,532.0,533.950012,522.150024,525.150024,515.139587,12570032
55,2023-02-21,527.099976,528.950012,522.400024,523.450012,513.471985,10223218
56,2023-02-22,520.75,521.900024,512.5,516.349976,506.507263,14763050
57,2023-02-23,516.950012,524.0,511.350006,521.0,511.068634,15535085
58,2023-02-24,524.200012,527.5,517.599976,521.049988,511.117676,12253035
59,2023-02-27,521.099976,529.799988,519.0,527.700012,517.64093,11048799
60,2023-02-28,527.25,528.450012,521.049988,522.799988,512.834351,15768010
61,2023-03-01,523.25,537.400024,523.099976,536.700012,526.46936,13510198
62,2023-03-02,535.950012,539.900024,532.5,533.75,523.575623,10376913
63,2023-03-03,542.0,564.299988,541.75,561.200012,550.50238,27656538
64,2023-03-06,564.900024,567.900024,559.0,561.700012,550.992859,16162268
65,2023-03-08,560.0,565.5,556.450012,564.799988,554.033691,12637578
66,2023-03-09,564.75,565.75,558.0,558.900024,548.246216,8993423
67,2023-03-10,553.099976,554.950012,545.0,547.349976,536.916321,11522371
68,2023-03-13,547.0,553.150024,528.450012,530.0,519.897095,14373729
69,2023-03-14,527.650024,532.799988,520.0,525.400024,515.384766,14750800
70,2023-03-15,529.799988,532.0,515.549988,517.549988,507.684387,11282329
71,2023-03-16,518.400024,529.349976,514.299988,524.5,514.501953,20040008
72,2023-03-17,528.650024,531.599976,520.099976,529.799988,519.700867,18787379
73,2023-03-20,526.599976,526.599976,515.0,519.200012,509.302979,14275315
74,2023-03-21,522.0,523.450012,516.450012,521.849976,511.902405,29485180
75,2023-03-22,522.200012,527.0,520.099976,521.549988,511.608154,11619538
76,2023-03-23,519.400024,521.0,511.5,512.75,502.975922,22097792
77,2023-03-24,514.5,514.950012,503.450012,505.350006,495.71698,14416984
78,2023-03-27,507.0,514.150024,501.549988,510.149994,500.425476,15674218
79,2023-03-28,511.450012,511.75,503.850006,508.100006,498.414551,15833599
80,2023-03-29,509.0,518.0,506.299988,516.5,506.654419,24203789
